rank,ticker,company,exchange,quote_type,country,sector,industry,market_cap,market_regime,final_score,rs_score,trend_score,trend_status,volume_score,sector_score,structure_score,rr_score,liquidity_pass,liquidity_score,momentum_score,fundamental_score,options_score,options_bias,options_confidence,options_crowded_bullish,setup_type,trigger_confirmed,trigger_level,entry,stop,target,rr,atr_pct,relative_volume,price,avg_volume_20d,avg_volume_60d,median_volume_20d,mean_volume_20d,dollar_volume_20d,median_to_mean_volume_ratio,spread_pct,bid,ask,average_volume_yf,average_volume_10d_yf,regular_market_volume_yf,earnings_date,days_to_earnings,earnings_veto,earnings_penalty,revenue_growth,earnings_growth,operating_margins,profit_margins,debt_to_equity,return_on_equity,gross_margins,return_on_assets,trailing_pe,forward_pe,price_to_book,price_to_sales_ttm,enterprise_to_ebitda,short_percent_float,short_ratio,held_percent_institutions,options_data_available,options_source,options_expirations_used,call_volume,put_volume,call_open_interest,put_open_interest,put_call_volume_ratio,put_call_oi_ratio,call_volume_share,call_oi_share,near_call_volume,near_put_volume,near_call_open_interest,near_put_open_interest,near_put_call_volume_ratio,near_put_call_oi_ratio,near_call_oi_share,max_call_oi_strike,max_call_oi,max_put_oi_strike,max_put_oi,max_pain_approx,atm_implied_volatility,call_volume_to_oi,put_volume_to_oi,total_option_volume,total_option_open_interest,warnings,signal,veto_reasons,reason_summary
16,PODD,Insulet Corporation,NMS,EQUITY,United States,Healthcare,Medical Devices,10612732928,risk_on,63.55,0.14,0.20,weak,0.77,0.79,0.78,1.00,True,1.00,0.45,0.83,0.48,NEUTRAL,HIGH,False,RECLAIM,True,150.40,153.22,143.19,239.97,8.65,0.04,1.44,153.22,1582510.40,1318373.47,1426150.00,1582510.40,242472245.42,0.90,0.17,139.85,165.16,1274650.00,1525290.00,2284571.00,2026-08-06,60,False,False,0.34,1.59,0.16,0.10,77.84,0.23,0.71,0.10,35.88,18.94,8.15,3.66,18.52,0.05,1.93,1.05,True,yfinance,"2026-06-18,2026-07-17",404.00,1601.00,3978.00,3776.00,3.96,0.95,0.20,0.51,32.00,180.00,959.00,251.00,5.62,0.26,0.79,330.00,1285.00,210.00,1000.00,210.00,0.59,0.10,0.42,2005.00,7754.00,,VETO,trend_score_too_weak,Veto: trend_score_too_weak
17,RLI,RLI Corp.,NYQ,EQUITY,United States,Financial Services,Insurance - Property & Casualty,4815729664,risk_on,63.31,0.48,0.20,weak,0.58,0.42,0.78,1.00,True,1.00,0.86,0.62,0.40,BEARISH,LOW,False,RECLAIM,True,50.90,52.38,50.01,63.23,4.57,0.03,0.73,52.38,1037812.65,838492.55,1064450.00,1037812.65,54360627.72,1.03,,0.00,0.00,822796.00,897760.00,758653.00,2026-07-20,43,False,False,0.04,-0.12,0.16,0.21,20.28,0.23,0.34,0.05,12.21,18.86,2.71,2.54,9.23,0.06,5.21,0.90,True,yfinance,"2026-06-18,2026-07-17",21.00,21.00,111.00,135.00,1.00,1.22,0.50,0.45,1.00,1.00,19.00,45.00,1.00,2.37,0.30,51.00,19.00,51.00,33.00,53.00,0.01,0.19,0.16,42.00,246.00,,VETO,trend_score_too_weak,Veto: trend_score_too_weak
18,EHC,Encompass Health Corporation,NYQ,EQUITY,United States,Healthcare,Medical Care Facilities,10317697024,risk_on,61.72,0.48,0.40,weak,0.36,0.79,0.78,0.70,True,1.00,0.10,0.73,0.76,BULLISH,HIGH,True,RECLAIM,True,103.98,104.01,99.40,113.23,2.00,0.03,0.68,104.01,770254.40,925201.47,704150.00,770254.40,80114161.79,0.91,,0.00,0.00,937487.00,690460.00,527588.00,2026-04-30,-38,False,False,0.09,0.30,0.19,0.10,82.84,0.25,0.43,0.10,17.81,15.91,4.10,1.70,9.43,0.04,3.44,1.02,True,yfinance,"2026-06-18,2026-07-17",721.00,158.00,3523.00,719.00,0.22,0.20,0.82,0.83,361.00,2.00,1443.00,106.00,0.01,0.07,0.93,125.00,1187.00,105.00,367.00,105.00,0.38,0.20,0.22,879.00,4242.00,put/call extremadamente bajo: posible crowded trade,VETO,trend_score_too_weak,Veto: trend_score_too_weak
19,TXRH,"Texas Roadhouse, Inc.",NMS,EQUITY,United States,Consumer Cyclical,Restaurants,11204271104,risk_on,60.64,0.77,0.40,weak,0.51,0.29,0.78,0.70,True,1.00,0.35,0.60,0.38,BEARISH,HIGH,False,RECLAIM,True,167.50,170.46,161.36,188.66,2.00,0.04,1.06,170.46,1318140.75,1149205.25,1251000.00,1318140.75,224690281.09,0.95,0.13,156.49,179.10,1113693.00,1057880.00,1397715.00,2026-08-06,60,False,False,0.13,0.10,0.09,0.07,68.53,0.29,0.16,0.09,27.19,22.29,7.40,1.85,16.34,0.06,2.88,1.04,True,yfinance,"2026-06-12,2026-06-18,2026-06-26",429.00,1299.00,2523.00,2647.00,3.03,1.05,0.25,0.49,23.00,700.00,283.00,232.00,30.43,0.82,0.55,185.00,1513.00,180.00,1419.00,180.00,0.43,0.17,0.49,1728.00,5170.00,,VETO,trend_score_too_weak,Veto: trend_score_too_weak
20,HG,"Hamilton Insurance Group, Ltd.",NYQ,EQUITY,Bermuda,Financial Services,Insurance - Reinsurance,3026315520,risk_on,55.61,0.60,0.40,weak,0.51,0.42,0.25,0.90,True,1.00,0.10,0.80,0.30,BEARISH,HIGH,False,NO_VALID_SETUP,False,,30.49,29.28,33.72,2.66,0.03,1.01,30.49,462991.05,450910.35,445100.00,462991.05,14116597.01,0.96,,0.00,0.00,460471.00,439210.00,469721.00,2026-04-30,-38,False,False,-0.02,0.70,0.29,0.22,5.44,0.34,0.40,0.06,5.01,6.49,1.07,1.05,2.14,0.02,2.56,0.83,True,yfinance,"2026-06-18,2026-07-17",78.00,220.00,2337.00,163.00,2.82,0.07,0.26,0.93,0.00,3.00,0.00,41.00,,,0.00,35.00,1397.00,40.00,96.00,28.00,0.40,0.03,1.35,298.00,2500.00,,VETO,"trend_score_too_weak, no_valid_setup","Veto: trend_score_too_weak, no_valid_setup"
21,EG,"Everest Group, Ltd.",NYQ,EQUITY,Bermuda,Financial Services,Insurance - Reinsurance,13233138688,risk_on,53.67,0.46,0.30,weak,0.64,0.42,0.25,0.71,True,1.00,0.10,0.64,0.58,NEUTRAL,HIGH,False,NO_VALID_SETUP,False,,334.41,321.21,361.27,2.04,0.03,1.54,334.41,393195.45,353488.48,361000.00,393195.45,131488491.87,0.92,,0.00,0.00,342142.00,386640.00,607109.00,2026-07-29,52,False,False,-0.05,2.31,0.20,0.12,23.47,0.14,0.15,0.03,6.81,5.52,0.87,0.76,,0.03,3.56,1.01,True,yfinance,"2026-06-18,2026-07-17",102.00,63.00,1282.00,1038.00,0.62,0.81,0.62,0.55,37.00,9.00,172.00,218.00,0.24,1.27,0.44,310.00,710.00,340.00,602.00,320.00,0.31,0.08,0.06,165.00,2320.00,,VETO,"trend_score_too_weak, no_valid_setup","Veto: trend_score_too_weak, no_valid_setup"
22,SLDE,"Slide Insurance Holdings, Inc.",NMS,EQUITY,United States,Financial Services,Insurance - Property & Casualty,1917721728,risk_on,53.25,0.21,0.15,weak,0.53,0.42,0.25,1.00,True,1.00,0.10,1.00,0.74,BULLISH,HIGH,True,NO_VALID_SETUP,False,,16.74,15.92,20.17,4.18,0.04,0.72,16.74,1213036.30,1804375.43,1180600.00,1213036.30,20306227.38,0.97,0.54,12.09,21.12,1876771.00,1126840.00,869926.00,2026-07-28,51,False,False,0.38,0.36,0.48,0.39,3.74,0.60,0.67,0.17,4.60,4.77,1.86,1.52,1.12,0.10,3.93,0.48,True,yfinance,"2026-06-18,2026-07-17",1397.00,27.00,3765.00,1317.00,0.02,0.35,0.98,0.74,1340.00,0.00,845.00,0.00,0.00,0.00,1.00,20.00,1248.00,15.00,601.00,17.50,0.67,0.37,0.02,1424.00,5082.00,put/call extremadamente bajo: posible crowded trade,VETO,"trend_score_too_weak, no_valid_setup","Veto: trend_score_too_weak, no_valid_setup"
23,RNR,RenaissanceRe Holdings Ltd.,NYQ,EQUITY,Bermuda,Financial Services,Insurance - Reinsurance,12298779648,risk_on,52.85,0.40,0.40,weak,0.33,0.42,0.25,0.91,True,1.00,0.10,0.79,0.51,NEUTRAL,MEDIUM,False,NO_VALID_SETUP,False,,288.48,277.49,318.20,2.70,0.03,0.61,288.48,383452.35,341614.12,340800.00,383452.35,110618338.14,0.89,,0.00,0.00,347195.00,354900.00,235047.00,2026-04-28,-40,False,False,-0.37,1.01,0.27,0.24,12.57,0.23,0.46,0.06,4.86,7.02,1.15,1.06,,0.04,3.42,0.98,True,yfinance,"2026-06-18,2026-07-17",56.00,88.00,171.00,112.00,1.57,0.65,0.39,0.60,7.00,4.00,74.00,6.00,0.57,0.08,0.92,340.00,53.00,260.00,63.00,270.00,0.33,0.33,0.79,144.00,283.00,,VETO,"trend_score_too_weak, no_valid_setup","Veto: trend_score_too_weak, no_valid_setup"
24,SBRA,"Sabra Health Care REIT, Inc.",NMS,EQUITY,United States,Real Estate,REIT - Healthcare Facilities,4655429120,risk_on,51.38,0.21,0.30,weak,0.78,0.11,0.25,1.00,True,1.00,0.10,0.58,0.58,NEUTRAL,HIGH,True,NO_VALID_SETUP,False,,18.46,17.67,21.28,3.59,0.03,1.99,18.46,2450083.20,2354421.07,2089100.00,2450083.20,45228533.63,0.85,0.53,13.22,22.80,2267077.00,2560270.00,4861806.00,2026-04-29,-39,False,False,0.22,-0.06,0.31,0.19,95.86,0.06,0.64,0.03,29.30,24.83,1.67,5.71,15.69,0.17,14.22,1.08,True,yfinance,"2026-06-18,2026-07-17",579.00,49.00,2660.00,638.00,0.08,0.24,0.92,0.81,0.00,38.00,0.00,277.00,,,0.00,20.00,1897.00,15.00,293.00,20.00,0.45,0.22,0.08,628.00,3298.00,put/call extremadamente bajo: posible crowded trade,VETO,"trend_score_too_weak, no_valid_setup","Veto: trend_score_too_weak, no_valid_setup"
25,NP,Neptune Insurance Holdings Inc.,NYQ,EQUITY,United States,Financial Services,Insurance Brokers,3526054912,risk_on,48.49,0.48,0.00,weak,0.30,0.42,0.25,0.95,True,1.00,0.10,0.65,0.50,NEUTRAL_NO_DATA,LOW,False,NO_VALID_SETUP,False,,25.49,23.63,30.73,2.82,0.06,0.44,25.49,1070987.15,615552.38,928450.00,1070987.15,27299462.21,0.87,,0.00,0.00,587306.00,819170.00,472943.00,2026-07-22,45,False,False,0.29,0.03,0.36,0.21,,,0.55,,,39.76,-16.52,20.99,48.05,0.04,1.55,0.63,False,yfinance,,,,,,,,,,,,,,,,,,,,,,,,,,,sin vencimientos dentro de la ventana configurada,VETO,"trend_score_too_weak, no_valid_setup","Veto: trend_score_too_weak, no_valid_setup"
26,CMG,"Chipotle Mexican Grill, Inc.",NYQ,EQUITY,United States,Consumer Cyclical,Restaurants,37635416064,risk_on,45.52,0.10,0.00,weak,0.62,0.29,0.25,1.00,True,1.00,0.10,0.43,0.50,NEUTRAL,HIGH,False,NO_VALID_SETUP,False,,29.34,27.90,37.08,5.37,0.04,2.07,29.34,19605581.40,17453255.47,17191450.00,19605581.40,575227761.27,0.88,,0.00,0.00,16876904.00,20814960.00,40622328.00,2026-07-29,52,False,False,0.07,-0.18,0.13,0.12,217.88,0.49,0.40,0.14,26.92,21.63,15.68,3.10,18.23,0.04,2.49,0.93,True,yfinance,"2026-06-12,2026-06-18,2026-06-26",16820.00,15950.00,158917.00,118767.00,0.95,0.75,0.51,0.57,8580.00,1690.00,5688.00,54285.00,0.20,9.54,0.09,40.00,23011.00,27.50,39235.00,33.20,0.41,0.11,0.13,32770.00,277684.00,,VETO,"trend_score_too_weak, no_valid_setup","Veto: trend_score_too_weak, no_valid_setup"
