rank,ticker,company,exchange,quote_type,country,sector,industry,market_cap,market_regime,final_score,rs_score,trend_score,trend_status,volume_score,sector_score,structure_score,rr_score,liquidity_pass,liquidity_score,momentum_score,fundamental_score,options_score,options_bias,options_confidence,options_crowded_bullish,setup_type,trigger_confirmed,trigger_level,entry,stop,target,rr,atr_pct,relative_volume,price,avg_volume_20d,avg_volume_60d,median_volume_20d,mean_volume_20d,dollar_volume_20d,median_to_mean_volume_ratio,spread_pct,bid,ask,average_volume_yf,average_volume_10d_yf,regular_market_volume_yf,earnings_date,days_to_earnings,earnings_veto,earnings_penalty,revenue_growth,earnings_growth,operating_margins,profit_margins,debt_to_equity,return_on_equity,gross_margins,return_on_assets,trailing_pe,forward_pe,price_to_book,price_to_sales_ttm,enterprise_to_ebitda,short_percent_float,short_ratio,held_percent_institutions,options_data_available,options_source,options_expirations_used,call_volume,put_volume,call_open_interest,put_open_interest,put_call_volume_ratio,put_call_oi_ratio,call_volume_share,call_oi_share,near_call_volume,near_put_volume,near_call_open_interest,near_put_open_interest,near_put_call_volume_ratio,near_put_call_oi_ratio,near_call_oi_share,max_call_oi_strike,max_call_oi,max_put_oi_strike,max_put_oi,max_pain_approx,atm_implied_volatility,call_volume_to_oi,put_volume_to_oi,total_option_volume,total_option_open_interest,warnings,scanner_stage,quote_timestamp,regular_market_time,pre_market_time,post_market_time,market_session,market_state_raw,metadata_fetched_at,quote_timestamp_source,signal,veto_reasons,reason_summary,all_veto_reasons,source_channel,validation_status,data_quality_warning,universe_veto_reasons,metadata_source,cache_schema_version,currency,enterprise_value,shares_outstanding,average_volume,average_volume_10d,bid_size,ask_size,regular_market_volume,total_debt,total_cash,free_cashflow,operating_cashflow,earnings_quarterly_growth,eps_trailing_twelve_months,eps_forward,peg_ratio,held_percent_insiders,fundamental_warning,early_veto_reasons,penalty_reasons,quote_age_seconds,quote_temporal_status,quote_status,execution_quote_quality,asset_quality_score,setup_quality_score,context_score,institutional_score,final_trade_score,score_breakdown,theoretical_entry,theoretical_stop,theoretical_target,actionable_entry,actionable_stop,actionable_target,legacy_rank,trade_rank,rank_delta,legacy_rank_basis,trade_rank_basis,run_trust_status,run_trust_reasons,critical_essential_sources,run_manual_review_required,schema_version,backtest_run_id,generated_at_utc,market_date_et,exchange_timezone
1,MU,"Micron Technology, Inc.",NMS,EQUITY,United States,Technology,Semiconductors,1103140356096.0,risk_on,76.48,0.566,1.0,excellent,0.421,0.637,0.82,1.0,True,1.0,0.86,1.0,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,962.9797515869141,978.7150268554688,912.4910888671875,1255.0,4.171980427884274,0.04510944532448384,0.54898147123869,978.7150268554688,25698741.65,40656015.55,25641600.0,25698741.65,25151744624.1315,0.9977764806239064,0.008188331627430911,973.0,981.0,41234393.0,25941410.0,14043308.0,2026-09-30,19.0,False,False,3.457,13.685,0.80370003,0.55906,6.33,0.66638,0.72569,0.3487,22.086613,6.308619,10.962229,12.235428,15.893,0.026400002,0.95,0.79882,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:06:12+00:00,1789146372.0,,,REGULAR,REGULAR,2026-09-11T17:06:13.707616+00:00,yahoo_quote_summary,TRIGGER_CONFIRMED,,PULLBACK | score 76.48 | RS 0.566 | trend 1.0 | R:R 4.17 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.49,KNOWN,VALID,HIGH,100.0,77.53,73.43,,82.63,asset=100.0; setup=77.53; context=73.43; institutional=None,978.7150268554688,912.4910888671875,1255.0,978.7150268554688,912.4910888671875,1255.0,5,2,3,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
2,SNDK,Sandisk Corporation,NMS,EQUITY,United States,Technology,Computer Hardware,239066382336.0,risk_on,74.96,0.52,1.0,excellent,0.365,0.637,0.82,1.0,True,1.0,0.86,0.9212,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,1602.2354919433594,1635.5,1483.4672284807477,2354.389892578125,4.728519288271281,0.061971984722002334,0.5649368481101803,1635.5,12388706.85,14014965.616666667,10387300.0,12388706.85,20261730053.175,0.8384490912382837,0.02549659057219093,1665.0,1708.0,13944679.0,11573710.0,6986845.0,2026-11-06,56.0,False,False,3.716,,0.78472,0.56465,1.277,0.9164,0.71474,0.43910998,22.151625,6.1755066,15.479354,11.821629,19.281,0.0643,0.41,0.80759,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:06:47+00:00,1789146407.0,,,REGULAR,REGULAR,2026-09-11T17:06:49.153671+00:00,yahoo_quote_summary,TRIGGER_CONFIRMED,,PULLBACK | score 74.96 | RS 0.52 | trend 1.0 | R:R 4.73 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.49,KNOWN,VALID,MEDIUM,97.37,76.12,71.9,,80.85,asset=97.37; setup=76.12; context=71.9; institutional=None,1635.5,1483.4672284807477,2354.389892578125,1635.5,1483.4672284807477,2354.389892578125,9,5,4,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
3,QRVO,"Qorvo, Inc.",NMS,EQUITY,United States,Technology,Semiconductors,10453381120.0,risk_on,79.66,0.882,1.0,excellent,0.747,0.637,1.0,0.7,True,1.0,0.74,0.6004,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,BREAKOUT,True,114.27999877929688,118.94999694824219,113.29146085466657,130.26706913539343,2.0,0.03171380825977249,1.3203584737126586,118.94999694824219,1049003.0,1213717.6666666667,919250.0,1049003.0,124778903.6486969,0.8763082660392773,0.1306676789404868,110.8,126.29,1193780.0,1198740.0,1374174.0,2026-11-09,59.0,False,False,-0.042,2.556,0.1578,0.10953,44.619,0.115559995,0.48535,0.06706,27.475637,14.977757,3.008944,2.8665407,11.443,0.0631,4.69,0.99786,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:03:18+00:00,1789146198.0,,,REGULAR,REGULAR,2026-09-11T17:03:37.877723+00:00,yahoo_quote_summary,WATCHLIST,,BREAKOUT | score 79.66 | RS 0.882 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,261.49,KNOWN,WIDE_OR_INCOHERENT,LOW,86.68,79.67,83.97,,82.81,asset=86.68; setup=79.67; context=83.97; institutional=None,118.94999694824219,113.29146085466657,130.26706913539343,,,,1,1,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
4,SPSC,"SPS Commerce, Inc.",NMS,EQUITY,United States,Technology,Software - Application,2927534336.0,risk_on,77.13,0.827,1.0,excellent,0.845,0.637,0.82,0.7,True,1.0,0.65,0.4688,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,81.02099990844727,81.7699966430664,76.29392514910016,92.72213963099888,1.9999999999999973,0.044646135247461624,2.759649116651314,81.7699966430664,484502.9,650290.9666666667,430350.0,484502.9,39617800.50655594,0.8882299775708257,0.4448823746766843,63.13,99.25,628237.0,454360.0,1329206.0,2026-10-29,48.0,False,False,0.056,-0.639,0.16108999,0.10098,0.672,0.08262,0.69821,0.06805,39.096153,15.271046,3.1362567,3.7897274,14.265,0.109799996,5.79,1.1431401,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:00:44+00:00,1789146044.0,,,REGULAR,REGULAR,2026-09-11T17:03:43.649428+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 77.13 | RS 0.827 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,415.49,KNOWN,WIDE_OR_INCOHERENT,LOW,82.29,75.38,82.13,,79.17,asset=82.29; setup=75.38; context=82.13; institutional=None,81.7699966430664,76.29392514910016,92.72213963099888,,,,4,6,-2,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
5,HTFL,"Heartflow, Inc.",NMS,EQUITY,United States,Healthcare,Health Information Services,4164208896.0,risk_on,75.36,0.984,1.0,excellent,0.516,0.617,0.82,0.7,True,1.0,0.65,0.4713,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,47.67524967193604,47.915000915527344,44.513890811375205,54.717221123831614,1.999999999999998,0.047321437812320837,0.31462295936255646,47.915000915527344,2520744.2,1895134.7333333334,1871700.0,2520744.2,120781460.65081026,0.7425188164669783,0.5339638865004299,34.1,58.94,1898627.0,1831410.0,768200.0,2026-11-11,61.0,False,False,0.476,,-0.27933002,-0.55817,9.698,-1.5423399,0.80081004,-0.18055001,,-186.12515,14.845009,19.635641,-53.536,0.101,2.93,0.91870004,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:02:22+00:00,1789146142.0,,,REGULAR,REGULAR,2026-09-11T17:03:47.044059+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 75.36 | RS 0.984 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,317.49,KNOWN,WIDE_OR_INCOHERENT,LOW,82.38,67.15,86.7,,76.81,asset=82.38; setup=67.15; context=86.7; institutional=None,47.915000915527344,44.513890811375205,54.717221123831614,,,,7,15,-8,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
6,MRVL,"Marvell Technology, Inc.",NMS,EQUITY,United States,Technology,Semiconductors,213927739392.0,risk_on,75.19,0.517,1.0,excellent,0.344,0.637,0.78,1.0,True,1.0,1.0,0.8961,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,227.87624969482422,238.71499633789062,218.96215057373047,329.8800048828125,4.615284786475322,0.055164376117091164,0.41379524293068853,238.71499633789062,23795636.05,30259152.016666666,21165800.0,23795636.05,5680375172.533528,0.8894824225553744,0.10273811810401859,222.25,246.32,31643787.0,24859390.0,9733555.0,2026-12-01,81.0,False,False,0.365,0.5,0.16679001,0.27934998,28.525,0.16523,0.52216,0.04125,78.8543,35.43829,11.446836,22.646637,70.299,0.0509,1.54,0.81848997,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:03:48+00:00,1789146228.0,,,REGULAR,REGULAR,2026-09-11T17:03:48.787847+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 75.19 | RS 0.517 | trend 1.0 | R:R 4.62 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,231.49,KNOWN,WIDE_OR_INCOHERENT,LOW,96.54,78.1,71.8,,81.47,asset=96.54; setup=78.1; context=71.8; institutional=None,238.71499633789062,218.96215057373047,329.8800048828125,,,,8,3,5,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
7,HIMX,"Himax Technologies, Inc.",NMS,EQUITY,Taiwan,Technology,Semiconductors,2576270848.0,risk_on,74.8,0.434,1.0,excellent,0.659,0.637,0.78,1.0,True,1.0,0.75,0.4546,0.71,CROWDED_BULLISH,HIGH,True,RECLAIM,True,13.97999997138977,14.850000381469727,14.044286046709333,18.979999542236328,5.125885171193827,0.03617123744390776,0.8643240122266499,14.850000381469727,849439.55,1625331.5166666666,727200.0,849439.55,12614177.641535474,0.8560938797822635,0.29055198103623436,12.62,16.91,1683567.0,812090.0,724974.0,2026-11-05,54.0,False,False,0.059,0.202,0.10803001,0.04257,65.281,0.04142,0.31074,0.01469,70.333336,11.361539,2.8640683,3.109084,44.443,0.0456,3.26,0.24346,True,yfinance,"2026-09-18,2026-10-16",2081.0,218.0,31319.0,9609.0,0.10475732820759251,0.3068105622784891,0.9051761635493693,0.7652218530101642,410.0,20.0,6726.0,945.0,0.04878048780487805,0.14049955396966993,0.8768087602659367,15.0,3418.0,7.0,1884.0,12.0,0.719729365234375,0.06644528880232446,0.022687064210635863,2299.0,40928.0,put/call extremadamente bajo: posible crowded trade,FULL_SCORE,2026-09-11T17:02:30+00:00,1789146150.0,,,REGULAR,REGULAR,2026-09-11T17:03:15.996267+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 74.8 | RS 0.434 | trend 1.0 | R:R 5.13 | opt CROWDED_BULLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,309.49,KNOWN,WIDE_OR_INCOHERENT,LOW,81.82,79.72,69.03,71.0,76.7,asset=81.82; setup=79.72; context=69.03; institutional=71.0,14.850000381469727,14.044286046709333,18.979999542236328,,,,10,16,-6,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
8,CLSK,"CleanSpark, Inc.",NCM,EQUITY,United States,Financial Services,Capital Markets,3555632384.0,risk_on,74.16,0.594,0.85,excellent,0.581,0.614,0.78,1.0,True,1.0,1.0,0.1188,0.7412,BULLISH_WITH_DATA,HIGH,False,RECLAIM,True,12.931099967956543,13.904999732971191,12.566142865589686,19.049999237060547,3.8428301257861763,0.06419066969160454,0.6917179881709877,13.904999732971191,17919129.2,20844016.4,18337350.0,17919129.2,249165486.74107626,1.023339348432177,0.18157807857378674,13.77,16.52,20887550.0,15759420.0,12204543.0,2026-11-24,74.0,False,False,-0.305,,-1.65191,-1.46901,234.725,-0.68622,0.46993,-0.27724,,-9.769389,4.667791,5.2327847,-5.76,0.4241,3.84,1.0061699,True,yfinance,"2026-09-18,2026-09-25,2026-10-02",12046.0,10353.0,171278.0,80939.0,0.8594554208866013,0.4725592311913964,0.5377918657082905,0.6790898313753633,5740.0,771.0,42625.0,9893.0,0.1343205574912892,0.23209384164222874,0.8116264899653453,15.0,18074.0,9.5,14030.0,12.0,0.729494892578125,0.07033010661030606,0.12791114295951272,22399.0,252217.0,,FULL_SCORE,2026-09-11T17:03:05+00:00,1789146185.0,,,REGULAR,REGULAR,2026-09-11T17:03:09.926477+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 74.16 | RS 0.594 | trend 0.85 | R:R 3.84 | opt BULLISH_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,274.49,KNOWN,WIDE_OR_INCOHERENT,LOW,65.63,84.03,68.6,74.12,74.58,asset=65.63; setup=84.03; context=68.6; institutional=74.12,13.904999732971191,12.566142865589686,19.049999237060547,,,,13,27,-14,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
9,APH,Amphenol Corporation,NYQ,EQUITY,United States,Technology,Electronic Components,206370603008.0,risk_on,73.92,0.651,1.0,excellent,0.506,0.637,0.78,0.7,True,1.0,0.75,0.8515,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,80.6037498474121,83.72000122070312,80.09964643205915,90.96071079799107,1.999999999999996,0.0288290709974229,0.3312396098047776,83.72000122070312,11081811.75,13586467.25,10945900.0,11081811.75,927769293.2376022,0.9877356019876443,0.00023912003825932846,83.63,83.65,13948743.0,11263070.0,3645621.0,2026-10-28,46.0,False,False,0.55,0.593,0.29779,0.17729001,120.415,0.38115,0.38952,0.14473,41.83005,25.5542,13.313193,7.1110535,22.34,0.0124,2.32,0.96690005,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:04:14+00:00,1789146254.0,,,REGULAR,REGULAR,2026-09-11T17:04:17.317870+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 73.92 | RS 0.651 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.49,KNOWN,VALID,HIGH,95.05,68.4,76.27,,77.99,asset=95.05; setup=68.4; context=76.27; institutional=None,83.72000122070312,80.09964643205915,90.96071079799107,,,,14,9,5,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
10,ADI,"Analog Devices, Inc.",NMS,EQUITY,United States,Technology,Semiconductors,183747231744.0,risk_on,73.66,0.46,0.85,excellent,0.542,0.637,0.82,1.0,True,1.0,0.75,0.9138,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,375.4490002441406,379.510009765625,364.76019396100725,445.9100036621094,4.501750718520594,0.025910279790734774,0.31027119719160495,379.510009765625,3538362.6,4213475.866666666,3424550.0,3538362.6,1342844024.8803222,0.9678346701946261,,362.83,353.91,4251450.0,3271460.0,1086542.0,2026-11-24,73.0,False,False,0.396,1.635,0.39503,0.29787,27.314,0.12227,0.65800005,0.06406,45.023754,23.205307,5.4752383,13.233118,26.274,0.0202,2.43,0.93801004,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:03:34+00:00,1789146214.0,,,REGULAR,REGULAR,2026-09-11T17:03:51.847474+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 73.66 | RS 0.46 | trend 0.85 | R:R 4.5 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,245.49,KNOWN,INVALID,LOW,92.13,77.8,64.9,,78.2,asset=92.13; setup=77.8; context=64.9; institutional=None,379.510009765625,364.76019396100725,445.9100036621094,,,,15,8,7,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
