rank,ticker,company,exchange,quote_type,country,sector,industry,market_cap,market_regime,final_score,rs_score,trend_score,trend_status,volume_score,sector_score,structure_score,rr_score,liquidity_pass,liquidity_score,momentum_score,fundamental_score,options_score,options_bias,options_confidence,options_crowded_bullish,setup_type,trigger_confirmed,trigger_level,entry,stop,target,rr,atr_pct,relative_volume,price,avg_volume_20d,avg_volume_60d,median_volume_20d,mean_volume_20d,dollar_volume_20d,median_to_mean_volume_ratio,spread_pct,bid,ask,average_volume_yf,average_volume_10d_yf,regular_market_volume_yf,earnings_date,days_to_earnings,earnings_veto,earnings_penalty,revenue_growth,earnings_growth,operating_margins,profit_margins,debt_to_equity,return_on_equity,gross_margins,return_on_assets,trailing_pe,forward_pe,price_to_book,price_to_sales_ttm,enterprise_to_ebitda,short_percent_float,short_ratio,held_percent_institutions,options_data_available,options_source,options_expirations_used,call_volume,put_volume,call_open_interest,put_open_interest,put_call_volume_ratio,put_call_oi_ratio,call_volume_share,call_oi_share,near_call_volume,near_put_volume,near_call_open_interest,near_put_open_interest,near_put_call_volume_ratio,near_put_call_oi_ratio,near_call_oi_share,max_call_oi_strike,max_call_oi,max_put_oi_strike,max_put_oi,max_pain_approx,atm_implied_volatility,call_volume_to_oi,put_volume_to_oi,total_option_volume,total_option_open_interest,warnings,scanner_stage,quote_timestamp,regular_market_time,pre_market_time,post_market_time,market_session,market_state_raw,metadata_fetched_at,quote_timestamp_source,signal,veto_reasons,reason_summary,all_veto_reasons,source_channel,validation_status,data_quality_warning,universe_veto_reasons,metadata_source,cache_schema_version,currency,enterprise_value,shares_outstanding,average_volume,average_volume_10d,bid_size,ask_size,regular_market_volume,total_debt,total_cash,free_cashflow,operating_cashflow,earnings_quarterly_growth,eps_trailing_twelve_months,eps_forward,peg_ratio,held_percent_insiders,fundamental_warning,early_veto_reasons,penalty_reasons,quote_age_seconds,quote_temporal_status,quote_status,execution_quote_quality,asset_quality_score,setup_quality_score,context_score,institutional_score,final_trade_score,score_breakdown,theoretical_entry,theoretical_stop,theoretical_target,actionable_entry,actionable_stop,actionable_target,legacy_rank,trade_rank,rank_delta,legacy_rank_basis,trade_rank_basis,run_trust_status,run_trust_reasons,critical_essential_sources,run_manual_review_required,schema_version,backtest_run_id,generated_at_utc,market_date_et,exchange_timezone
91,BVN,Buenaventura Mining Company Inc,NYQ,EQUITY,,,,8677460992.0,risk_on,59.24,0.608,0.65,weak,0.312,,0.82,1.0,True,1.0,0.26,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,34.570999717712404,34.16999816894531,32.735501518249514,38.631427492414204,3.110100899367654,0.04352189603494103,0.2233024435281206,34.16999816894531,1192615.7,1083611.9,983000.0,1192615.7,40751676.28525543,0.824238688120574,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,PULLBACK | score 59.24 | RS 0.608 | trend 0.65 | R:R 3.11 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,71.67,59.8,62.9,,63.96,asset=71.67; setup=59.8; context=62.9; institutional=None,34.16999816894531,32.735501518249514,38.631427492414204,,,,202,101,101,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
92,OII,"Oceaneering International, Inc.",NYQ,EQUITY,,,,5082979328.0,risk_on,58.98,0.732,0.8,acceptable,0.234,,0.82,0.7,True,1.0,0.26,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,51.39924983978271,50.974998474121094,48.09017753601074,56.7446403503418,2.0,0.03772857314976887,0.5023687327279905,50.974998474121094,851088.0,1085449.3333333333,878300.0,851088.0,43384209.50134277,1.0319731919613484,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,PULLBACK | score 58.98 | RS 0.732 | trend 0.8 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,76.67,50.35,76.6,,64.95,asset=76.67; setup=50.35; context=76.6; institutional=None,50.974998474121094,48.09017753601074,56.7446403503418,,,,205,92,113,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
93,UCTT,"Ultra Clean Holdings, Inc.",NMS,EQUITY,United States,Technology,Semiconductor Equipment & Materials,3376081664.0,risk_on,58.95,0.072,0.6,weak,0.317,0.637,0.78,1.0,True,1.0,0.45,0.3671,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,73.84400024414063,74.61000061035156,68.40963990347726,144.22000122070312,11.226766296543898,0.055402409472830996,0.16941181029800476,74.61000061035156,918631.35,1309065.45,904700.0,918631.35,68539085.58418807,0.984834667355953,0.5569930546098325,52.98,93.88,1329033.0,883920.0,153853.0,2026-11-03,53.0,False,False,0.243,,0.045739997,-0.01066,108.2,-0.0155299995,0.1583,0.021259999,,12.702726,5.3199916,1.5379381,27.447,0.107200004,3.15,1.10197,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:02:39+00:00,1789146159.0,,,REGULAR,REGULAR,2026-09-11T17:03:59.869860+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 58.95 | RS 0.072 | trend 0.6 | R:R 11.23 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,300.5,KNOWN,WIDE_OR_INCOHERENT,LOW,65.57,63.67,43.63,,58.63,asset=65.57; setup=63.67; context=43.63; institutional=None,74.61000061035156,68.40963990347726,144.22000122070312,,,,206,130,76,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
94,GTX,Garrett Motion Inc.,NMS,EQUITY,,,,5175192064.0,risk_on,58.29,0.339,0.6,weak,0.479,,0.78,1.0,True,1.0,0.45,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,27.261000061035155,27.770000457763672,26.57376159940447,36.25,7.088884868585325,0.028717773103835574,0.17385936438378524,27.770000457763672,2844925.85,2641006.95,2778700.0,2844925.85,79003592.15680371,0.9767214143735943,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,RECLAIM | score 58.29 | RS 0.339 | trend 0.6 | R:R 7.09 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,70.0,67.72,46.95,,62.58,asset=70.0; setup=67.72; context=46.95; institutional=None,27.770000457763672,26.57376159940447,36.25,,,,210,109,101,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
95,AMP,"Ameriprise Financial, Inc.",NYQ,EQUITY,,,,48800129024.0,risk_on,58.19,0.642,0.8,acceptable,0.135,,0.82,0.85,True,1.0,0.26,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,556.9956909179688,552.0836791992188,538.5736291503906,585.8653172084263,2.5004820772027982,0.02039644790695912,0.18590255667731417,552.0836791992188,403646.95,576028.9833333333,383850.0,403646.95,222846893.2535431,0.95095478858443,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,PULLBACK | score 58.19 | RS 0.642 | trend 0.8 | R:R 2.5 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,76.67,51.62,72.1,,64.27,asset=76.67; setup=51.62; context=72.1; institutional=None,552.0836791992188,538.5736291503906,585.8653172084263,,,,212,99,113,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
96,STX,Seagate Technology Holdings PLC,NMS,EQUITY,,,,188091531264.0,risk_on,56.56,0.319,0.55,weak,0.183,,0.82,1.0,True,1.0,0.7,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,848.1889990234375,829.25,761.6290980747767,1145.0,4.669414204932721,0.05436310073377407,0.5790241032631689,829.25,3492203.5,4760267.833333333,3219850.0,3492203.5,2895909752.375,0.9220109881912666,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,PULLBACK | score 56.56 | RS 0.319 | trend 0.55 | R:R 4.67 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,68.33,67.58,43.45,,61.09,asset=68.33; setup=67.58; context=43.45; institutional=None,829.25,761.6290980747767,1145.0,,,,231,113,118,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
97,RDW,Redwire Corporation,NYQ,EQUITY,United States,Industrials,Aerospace & Defense,2714919680.0,risk_on,56.35,0.051,0.8,acceptable,0.176,0.47,0.82,1.0,True,1.0,0.1,0.4713,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,10.698899984359741,10.885000228881836,10.08930034160614,14.979999542236328,5.146411830438842,0.052700308212212714,0.5173326737039103,10.885000228881836,11570941.3,17788823.766666666,11221500.0,11570941.3,125949698.6988783,0.9698000974216332,0.0,10.84,10.84,19583732.0,10947650.0,5963737.0,2026-11-04,54.0,False,False,0.896,,-0.18858999,-0.57263,5.539,-0.18153,0.22729,-0.06102,,-36.898308,1.6575302,6.3836465,-18.468,0.1866,2.47,0.69315004,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:07:00+00:00,1789146420.0,,,REGULAR,REGULAR,2026-09-11T17:07:02.279451+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 56.35 | RS 0.051 | trend 0.8 | R:R 5.15 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,39.5,KNOWN,INVALID,LOW,75.71,52.4,44.03,,56.55,asset=75.71; setup=52.4; context=44.03; institutional=None,10.885000228881836,10.08930034160614,14.979999542236328,,,,233,137,96,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
98,ZION,Zions Bancorporation N.A.,NMS,EQUITY,,,,10015320064.0,risk_on,56.19,0.478,0.6,weak,0.26,,0.78,0.83,True,1.0,0.45,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,68.58000030517579,68.5999984741211,66.65106964111328,73.33999633789062,2.432104129966725,0.01894002795294554,0.34582051566366534,68.5999984741211,1199012.15,1525769.05,1214900.0,1199012.15,82252231.66045265,1.0132507831551165,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,RECLAIM | score 56.19 | RS 0.478 | trend 0.6 | R:R 2.43 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,70.0,58.0,53.9,,60.19,asset=70.0; setup=58.0; context=53.9; institutional=None,68.5999984741211,66.65106964111328,73.33999633789062,,,,236,119,117,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
99,ALL,Allstate Corporation (The),NYQ,EQUITY,,,,63975587840.0,risk_on,56.14,0.607,0.55,weak,0.226,,0.82,1.0,True,1.0,0.1,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,257.7069995117188,253.1300048828125,249.07835182189942,277.2200012207031,5.945720419719671,0.019896606810367437,0.31659890365378796,253.1300048828125,1477453.0,1752161.0,1385300.0,1477453.0,373987685.104126,0.9376271191029427,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,PULLBACK | score 56.14 | RS 0.607 | trend 0.55 | R:R 5.95 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,68.33,53.65,57.85,,58.89,asset=68.33; setup=53.65; context=57.85; institutional=None,253.1300048828125,249.07835182189942,277.2200012207031,,,,237,128,109,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
100,FAF,First American Corporation (New,NYQ,EQUITY,,,,7338437632.0,risk_on,56.03,0.583,0.55,weak,0.241,,0.82,1.0,True,1.0,0.1,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,72.87669998168946,71.94499969482422,70.10769908905029,79.87000274658203,4.313394894037785,0.025222631630973116,0.18842887576342754,71.94499969482422,644895.85,816971.95,653300.0,644895.85,46397031.731443405,1.0130317942036688,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,PULLBACK | score 56.03 | RS 0.583 | trend 0.55 | R:R 4.31 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,68.33,54.02,56.65,,58.73,asset=68.33; setup=54.02; context=56.65; institutional=None,71.94499969482422,70.10769908905029,79.87000274658203,,,,240,129,111,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
101,BFH,"Bread Financial Holdings, Inc.",NYQ,EQUITY,,,,4090499584.0,risk_on,54.54,0.487,0.8,acceptable,0.181,,0.82,0.7,True,1.0,0.1,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,105.56280014038086,106.4000015258789,100.94696862357003,117.30606733049666,2.0,0.03416687233149817,0.4379962399729605,106.4000015258789,415688.5,577029.5,392250.0,415688.5,44229257.03429031,0.9436152311165693,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,PULLBACK | score 54.54 | RS 0.487 | trend 0.8 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,76.67,45.02,64.35,,59.18,asset=76.67; setup=45.02; context=64.35; institutional=None,106.4000015258789,100.94696862357003,117.30606733049666,,,,255,126,129,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
102,TOWN,Towne Bank,NMS,EQUITY,,,,3425725440.0,risk_on,54.01,0.551,0.55,weak,0.219,,0.82,0.831,True,1.0,0.1,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,37.15039985656738,37.040000915527344,36.22303785596575,39.029998779296875,2.435848035573874,0.014704158375963007,0.25975962716049794,37.040000915527344,480120.8,635858.6,464200.0,480120.8,17783674.87156372,0.9668400119303309,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,WATCHLIST,,PULLBACK | score 54.01 | RS 0.551 | trend 0.55 | R:R 2.44 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,,UNKNOWN,MISSING,LOW,68.33,49.25,55.05,,56.16,asset=68.33; setup=49.25; context=55.05; institutional=None,37.040000915527344,36.22303785596575,39.029998779296875,,,,260,140,120,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
103,VG,"Venture Global, Inc.",NYQ,EQUITY,United States,Energy,Oil & Gas Midstream,39188955136.0,risk_on,77.84,0.868,1.0,excellent,0.623,1.0,0.25,0.7,True,1.0,1.0,0.8177,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,NO_VALID_SETUP,False,,15.65999984741211,14.692499876022339,17.59499979019165,2.0,0.041187738646951716,1.0167640070516952,15.65999984741211,13266341.95,14174327.316666666,13278000.0,13266341.95,207750912.91271687,1.000878768996302,0.0006395906619763214,15.63,15.64,14415438.0,12918970.0,13478913.0,2026-11-09,58.0,False,False,0.476,2.643,0.47794,0.22052,354.624,0.33641997,0.46923,0.07379,11.875,15.71665,4.567308,2.3118963,11.155,0.78209996,3.21,0.8818,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:06:10+00:00,1789146370.0,,,REGULAR,REGULAR,2026-09-11T17:06:15.711583+00:00,yahoo_quote_summary,AVOID,,NO_VALID_SETUP | score 77.84 | RS 0.868 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_setup,89.49,KNOWN,VALID,HIGH,93.92,64.33,95.6,,49.0,asset=93.92; setup=64.33; context=95.6; institutional=None,15.65999984741211,14.692499876022339,17.59499979019165,,,,2,157,-155,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
104,DHT,"DHT Holdings, Inc.",NYQ,EQUITY,Bermuda,Energy,Oil & Gas Midstream,3569755392.0,risk_on,77.81,0.904,1.0,excellent,0.585,1.0,0.25,0.7,True,1.0,0.86,1.0,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,NO_VALID_SETUP,False,,22.06999969482422,21.053738798413956,24.10252148764474,1.9999999999999964,0.030698109363018884,0.7903502214810842,22.06999969482422,3341888.1,3346566.033333333,3236800.0,3341888.1,73755469.34713669,0.9685542732564864,0.0,22.2,22.2,3437520.0,3054820.0,2608723.0,2026-10-28,47.0,False,False,0.955,2.523,0.71306,0.59314,33.231,0.39174998,0.76669997,0.18747,7.52721,11.7681465,2.6837254,4.4675446,6.409,0.0971,3.94,0.80261004,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:04:45+00:00,1789146285.0,,,REGULAR,REGULAR,2026-09-11T17:05:11.976587+00:00,yahoo_quote_summary,AVOID,,NO_VALID_SETUP | score 77.81 | RS 0.904 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_setup,174.49,KNOWN,INVALID,LOW,100.0,59.88,96.8,,49.0,asset=100.0; setup=59.88; context=96.8; institutional=None,22.06999969482422,21.053738798413956,24.10252148764474,,,,3,158,-155,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
105,PBR,Petroleo Brasileiro S.A. Petrob,NYQ,EQUITY,Brazil,Energy,Oil & Gas Integrated,136683724800.0,risk_on,76.14,0.837,1.0,excellent,0.434,1.0,0.25,0.7,True,1.0,1.0,0.9362,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,NO_VALID_SETUP,False,,21.184999465942383,20.12214251926967,23.310713359287806,1.9999999999999967,0.03344684048356611,0.4200910159002263,21.184999465942383,22417775.3,17418553.433333334,21651250.0,22417775.3,474920557.75811636,0.9658072538535971,0.00047092064987040315,21.23,21.24,17595612.0,25564760.0,9339731.0,2026-11-10,60.0,False,False,0.423,0.968,0.44679,0.24317,76.067,0.30274,0.50595003,0.10073,5.354798,5.3189754,1.4455807,0.24914226,1.858,,1.75,0.2234,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:06:23+00:00,1789146383.0,,,REGULAR,REGULAR,2026-09-11T17:06:35.203805+00:00,yahoo_quote_summary,AVOID,,NO_VALID_SETUP | score 76.14 | RS 0.837 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_setup,76.49,KNOWN,VALID,HIGH,97.87,59.6,94.57,,49.0,asset=97.87; setup=59.6; context=94.57; institutional=None,21.184999465942383,20.12214251926967,23.310713359287806,,,,6,159,-153,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
106,DELL,Dell Technologies Inc.,NYQ,EQUITY,United States,Technology,Computer Hardware,355047342080.0,risk_on,74.76,0.908,1.0,excellent,0.699,0.637,0.25,0.7,True,1.0,1.0,0.65,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,NO_VALID_SETUP,False,,559.489990234375,510.1046404157366,658.2606898716518,2.0,0.0588456757411638,1.1341147898318777,559.489990234375,8592864.75,7598316.583333333,5700000.0,8592864.75,4807621815.062805,0.6633410586382149,0.0013955984970477236,558.51,559.29,7509288.0,12021350.0,9692273.0,2026-11-27,77.0,False,False,0.577,2.729,0.12020001,0.07525,,,0.19910999,0.08643,32.523586,19.476519,-252.4548,2.3483064,19.51,0.048800003,2.7,0.77880996,False,not_prioritized,,,,,,,,,,,,,,,,,,,,,,,,,,,candidato fuera del cupo priorizado de opciones,FULL_SCORE,2026-09-11T17:03:05+00:00,1789146185.0,,,REGULAR,REGULAR,2026-09-11T17:03:06.796215+00:00,yahoo_quote_summary,AVOID,,NO_VALID_SETUP | score 74.76 | RS 0.908 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_setup,274.49,KNOWN,VALID,HIGH,88.33,66.22,84.83,,49.0,asset=88.33; setup=66.22; context=84.83; institutional=None,559.489990234375,510.1046404157366,658.2606898716518,,,,11,160,-149,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
107,CVI,CVR Energy Inc.,NYQ,EQUITY,United States,Energy,Oil & Gas Refining & Marketing,5100922880.0,risk_on,74.68,0.986,1.0,excellent,0.496,1.0,0.25,0.7,True,1.0,0.74,0.544,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,NO_VALID_SETUP,False,,50.83000183105469,47.33607278551374,57.81785992213658,2.0,0.045825023538314115,0.6267760812400632,50.83000183105469,990294.65,1041546.55,959600.0,990294.65,50336678.87278366,0.9690045280967639,0.004744958481613325,50.46,50.7,1040104.0,1190420.0,620236.0,2026-10-28,47.0,False,False,0.555,,0.02849,0.0081400005,241.801,0.24254999,0.10905,0.055040002,73.405945,17.646336,9.699368,0.60095423,7.998,0.1825,5.6,1.04471,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-11T17:03:24+00:00,1789146204.0,,,REGULAR,REGULAR,2026-09-11T17:04:08.102584+00:00,yahoo_quote_summary,AVOID,,NO_VALID_SETUP | score 74.68 | RS 0.986 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_setup,255.49,KNOWN,VALID,HIGH,84.8,54.65,99.53,,49.0,asset=84.8; setup=54.65; context=99.53; institutional=None,50.83000183105469,47.33607278551374,57.81785992213658,,,,12,161,-149,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260911T170739724410Z,2026-09-11T17:07:39.724410+00:00,2026-09-11,America/New_York
