rank,ticker,company,exchange,quote_type,country,sector,industry,market_cap,market_regime,final_score,rs_score,trend_score,trend_status,volume_score,sector_score,structure_score,rr_score,liquidity_pass,liquidity_score,momentum_score,fundamental_score,options_score,options_bias,options_confidence,options_crowded_bullish,setup_type,trigger_confirmed,trigger_level,entry,stop,target,rr,atr_pct,relative_volume,price,avg_volume_20d,avg_volume_60d,median_volume_20d,mean_volume_20d,dollar_volume_20d,median_to_mean_volume_ratio,spread_pct,bid,ask,average_volume_yf,average_volume_10d_yf,regular_market_volume_yf,earnings_date,days_to_earnings,earnings_veto,earnings_penalty,revenue_growth,earnings_growth,operating_margins,profit_margins,debt_to_equity,return_on_equity,gross_margins,return_on_assets,trailing_pe,forward_pe,price_to_book,price_to_sales_ttm,enterprise_to_ebitda,short_percent_float,short_ratio,held_percent_institutions,options_data_available,options_source,options_expirations_used,call_volume,put_volume,call_open_interest,put_open_interest,put_call_volume_ratio,put_call_oi_ratio,call_volume_share,call_oi_share,near_call_volume,near_put_volume,near_call_open_interest,near_put_open_interest,near_put_call_volume_ratio,near_put_call_oi_ratio,near_call_oi_share,max_call_oi_strike,max_call_oi,max_put_oi_strike,max_put_oi,max_pain_approx,atm_implied_volatility,call_volume_to_oi,put_volume_to_oi,total_option_volume,total_option_open_interest,warnings,scanner_stage,quote_timestamp,regular_market_time,pre_market_time,post_market_time,market_session,market_state_raw,metadata_fetched_at,quote_timestamp_source,signal,veto_reasons,reason_summary,all_veto_reasons,source_channel,validation_status,data_quality_warning,universe_veto_reasons,metadata_source,cache_schema_version,currency,enterprise_value,shares_outstanding,average_volume,average_volume_10d,bid_size,ask_size,regular_market_volume,total_debt,total_cash,free_cashflow,operating_cashflow,earnings_quarterly_growth,eps_trailing_twelve_months,eps_forward,peg_ratio,held_percent_insiders,fundamental_warning,early_veto_reasons,penalty_reasons,quote_age_seconds,quote_temporal_status,quote_status,execution_quote_quality,asset_quality_score,setup_quality_score,context_score,institutional_score,final_trade_score,score_breakdown,theoretical_entry,theoretical_stop,theoretical_target,actionable_entry,actionable_stop,actionable_target,legacy_rank,trade_rank,rank_delta,legacy_rank_basis,trade_rank_basis,run_trust_status,run_trust_reasons,critical_essential_sources,run_manual_review_required,schema_version,backtest_run_id,generated_at_utc,market_date_et,exchange_timezone
38,WLY,"John Wiley & Sons, Inc.",NYQ,EQUITY,United States,Communication Services,Publishing,2496394240,risk_off,62.83,0.823,0.8,acceptable,0.4,0.298,0.82,0.7,True,1.0,0.51,0.7211,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,49.95024948120117,49.26499938964844,46.502898761204314,54.78920064653669,2.0000000000000027,0.03737745746018757,0.12146990237171863,49.26499938964844,628040.35,494368.51666666666,521769.5,628040.35,30940407.45942459,0.8307897733003938,0.00264200792602383,49.14,49.27,496199.0,487628.0,76198.0,2026-09-03,41.0,False,False,0.012,1.084,0.24714,0.13219,90.749,0.27694,0.74262,0.0677,11.842548,9.295282,2.953537,1.4915998,9.111,0.1369,6.23,1.04861,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:30:58+00:00,1784820658.0,,,REGULAR,REGULAR,2026-07-23T15:33:02.636835+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 62.83 | RS 0.823 | trend 0.8 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.93,KNOWN,VALID,HIGH,84.04,60.75,64.03,,68.13,asset=84.04; setup=60.75; context=64.03; institutional=None,49.26499938964844,46.502898761204314,54.78920064653669,49.26499938964844,46.502898761204314,54.78920064653669,64,40,24,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
39,AMD,"Advanced Micro Devices, Inc.",NMS,EQUITY,United States,Technology,Semiconductors,876007522304,risk_off,62.49,0.795,1.0,excellent,0.323,0.307,0.82,0.7,True,1.0,0.26,0.7633,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,533.5065032958985,538.0100708007812,482.0676749093192,649.8948625837054,2.0,0.06932013473055955,0.31295048689170185,538.0100708007812,27274864.1,33373536.366666667,27062500.0,27274864.1,14674151565.522688,0.9922139263747972,0.03975117584585047,516.8,537.76,34853745.0,25597690.0,8358044.0,2026-08-04,11.0,False,False,0.378,0.912,0.14396,0.13374,6.005,0.08063,0.5306,0.03647,180.35403,39.83488,13.590285,,120.075,0.0256,1.3,0.74152,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:29:57+00:00,1784820597.0,,,REGULAR,REGULAR,2026-07-23T15:29:59.189445+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 62.49 | RS 0.795 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.93,KNOWN,WIDE_OR_INCOHERENT,LOW,92.11,52.58,70.07,,68.42,asset=92.11; setup=52.58; context=70.07; institutional=None,538.0100708007812,482.0676749093192,649.8948625837054,538.0100708007812,482.0676749093192,649.8948625837054,67,38,29,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
40,CLSK,"CleanSpark, Inc.",NCM,EQUITY,United States,Financial Services,Capital Markets,3945357312,risk_off,62.47,0.616,0.85,excellent,0.431,0.54,0.82,0.7,True,1.0,0.75,0.1688,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,15.310499992370605,15.619999885559082,13.664160353796822,19.531678949083602,2.0,0.08347586624378325,0.46113550969628736,15.619999885559082,22668026.6,22718640.533333335,18961750.0,22668026.6,354074572.8978503,0.8364976067215308,0.32916972814107276,11.37,15.85,22951604.0,28309700.0,9883848.0,2026-08-06,13.0,False,False,-0.249,,-2.46283,-0.67657995,181.585,-0.34804,0.50709,-0.18244,,-21.379309,4.0333076,5.3757524,-14.094,0.42880002,3.59,0.93293,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:29:42+00:00,1784820582.0,,,REGULAR,REGULAR,2026-07-23T15:29:44.126773+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 62.47 | RS 0.616 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.93,KNOWN,WIDE_OR_INCOHERENT,LOW,67.29,67.53,66.87,,67.28,asset=67.29; setup=67.53; context=66.87; institutional=None,15.619999885559082,13.664160353796822,19.531678949083602,15.619999885559082,13.664160353796822,19.531678949083602,68,42,26,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
41,GS,"Goldman Sachs Group, Inc. (The)",NYQ,EQUITY,United States,Financial Services,Capital Markets,313749241856,risk_off,60.37,0.58,1.0,excellent,0.127,0.54,0.82,0.7,True,1.0,0.26,0.7916,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,1059.8917510986328,1064.43505859375,1006.7525787353516,1179.8000183105469,2.0,0.03612713266234335,0.3030231526783753,1064.43505859375,2002444.35,2122811.45,1744700.0,2002444.35,2131471969.0229738,0.8712851370875799,,1067.5,1067.49,2118822.0,2034820.0,599254.0,2026-10-13,81.0,False,False,0.425,0.923,0.42316002,0.31039,647.154,0.16951999,0.82075995,0.010720001,16.424448,14.506447,2.9039083,,,0.0221,2.58,0.745,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:32:25+00:00,1784820745.0,,,REGULAR,REGULAR,2026-07-23T15:32:34.629937+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 60.37 | RS 0.58 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.93,KNOWN,INVALID,LOW,93.05,47.67,70.67,,66.66,asset=93.05; setup=47.67; context=70.67; institutional=None,1064.43505859375,1006.7525787353516,1179.8000183105469,1064.43505859375,1006.7525787353516,1179.8000183105469,84,43,41,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
42,KSS,Kohl's Corporation,NYQ,EQUITY,United States,Consumer Cyclical,Department Stores,2043467904,risk_off,60.11,0.53,0.85,excellent,0.309,0.281,0.82,0.7,True,1.0,1.0,0.2872,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,17.58949990272522,18.0,16.57285717555455,20.854285648890905,2.0000000000000027,0.05285714164612785,0.28026512648254615,18.0,3853383.45,4929811.15,3366900.0,3853383.45,69360902.10000001,0.8737516117167109,0.0005517241379309247,18.12,18.13,4963518.0,2971220.0,1045621.0,2026-08-26,33.0,False,False,-0.02,,0.014520001,0.01766,162.351,0.069970004,0.40521,0.02313,7.573529,12.164423,0.50616384,,6.919,0.31120002,5.27,1.0948,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:31:41+00:00,1784820701.0,,,REGULAR,REGULAR,2026-07-23T15:31:58.532773+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 60.11 | RS 0.53 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.93,KNOWN,VALID,HIGH,71.24,70.72,55.37,,66.6,asset=71.24; setup=70.72; context=55.37; institutional=None,18.0,16.57285717555455,20.854285648890905,18.0,16.57285717555455,20.854285648890905,85,44,41,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
43,VIRT,"Virtu Financial, Inc.",NYQ,EQUITY,United States,Financial Services,Capital Markets,12825690112,risk_off,60.01,0.582,0.8,acceptable,0.432,0.54,0.82,0.743,True,1.0,0.26,0.4614,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,60.91447486877441,59.56949996948242,55.626868520464214,68.0199966430664,2.1433645987094034,0.04412360297398304,0.09923533436794378,59.56949996948242,1212340.35,1327291.7833333334,1102350.0,1212340.35,72218508.44232732,0.9092743634244294,0.0020070245860512553,59.73,59.85,1345567.0,1343810.0,112979.0,2026-07-30,6.0,False,True,0.293,0.985,0.36249,0.20977,411.748,,0.65802,,9.5368,9.22748,2.9896674,3.928727,,0.0608,3.54,0.92853,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"earnings en 6 días: penalización; options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:26:41+00:00,1784820401.0,,,REGULAR,REGULAR,2026-07-23T15:28:29.072907+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 60.01 | RS 0.582 | trend 0.8 | R:R 2.14 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.93,KNOWN,VALID,HIGH,75.38,56.38,64.07,,63.79,asset=75.38; setup=56.38; context=64.07; institutional=None,59.56949996948242,55.626868520464214,68.0199966430664,59.56949996948242,55.626868520464214,68.0199966430664,88,51,37,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
44,MU,"Micron Technology, Inc.",NMS,EQUITY,United States,Technology,Semiconductors,1108730970112,risk_off,60.01,0.624,0.8,acceptable,0.231,0.307,0.82,0.868,True,1.0,0.26,1.0,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,990.0764434814453,983.0487060546875,876.828877040318,1255.0,2.5602686096258247,0.07203429383179878,0.3838345927803517,983.0487060546875,47860363.15,52097256.05,44848500.0,47860363.15,47049068065.91495,0.9370697806750763,,988.73,988.0,52199070.0,42233360.0,17951898.0,2026-09-23,61.0,False,False,3.457,13.685,0.80370003,0.55906,6.33,0.66638,0.72569,0.3487,22.156908,6.374418,10.9847,,15.596,0.028099999,0.55,0.83144,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:29:19+00:00,1784820559.0,,,REGULAR,REGULAR,2026-07-23T15:29:20.264863+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 60.01 | RS 0.624 | trend 0.8 | R:R 2.56 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.93,KNOWN,INVALID,LOW,93.33,54.48,57.7,,66.17,asset=93.33; setup=54.48; context=57.7; institutional=None,983.0487060546875,876.828877040318,1255.0,983.0487060546875,876.828877040318,1255.0,89,45,44,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
45,FAF,First American Corporation (New,NYQ,EQUITY,United States,Financial Services,Insurance - Specialty,7121281536,risk_off,59.85,0.593,0.8,acceptable,0.187,0.54,0.82,0.7,True,1.0,0.51,0.6306,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,69.92999992370605,69.76000213623047,67.12535803658622,75.02929033551898,2.0000000000000053,0.02517817296411202,0.3228778928912528,69.76000213623047,856893.6,935716.2,808650.0,856893.6,59776899.366522215,0.9436994277936024,0.0027407140281283477,69.23,69.42,948540.0,734250.0,276287.0,2026-10-21,89.0,False,False,0.15,0.504,0.13409,0.09333,51.35,,0.66174006,,10.732308,9.646952,1.2938405,,,0.0731,5.45,0.98033994,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:32:50+00:00,1784820770.0,,,REGULAR,REGULAR,2026-07-23T15:32:53.017077+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 59.85 | RS 0.593 | trend 0.8 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.93,KNOWN,VALID,HIGH,81.02,55.42,64.43,,65.03,asset=81.02; setup=55.42; context=64.43; institutional=None,69.76000213623047,67.12535803658622,75.02929033551898,69.76000213623047,67.12535803658622,75.02929033551898,90,48,42,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
46,DLO,DLocal Limited,NMS,EQUITY,Uruguay,Technology,Software - Infrastructure,4133009920,risk_off,59.76,0.74,0.65,weak,0.336,0.307,0.82,0.7,True,1.0,0.51,0.7406,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,14.31699995994568,14.0649995803833,13.16553544998169,15.863927841186523,2.0,0.04263368442878636,0.1332769517593588,14.0649995803833,3212633.5,2720657.8333333335,1969100.0,3212633.5,45185688.829425335,0.6129239454173655,0.544428772919605,10.32,18.04,2720972.0,1705760.0,419416.0,2026-08-13,20.0,False,False,0.549,-0.067,0.15712,0.15845,19.827,0.34987,0.35999,0.09244,21.914062,12.430205,7.440318,3.4032803,14.547,0.1398,6.41,0.63058,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:31:03+00:00,1784820663.0,,,REGULAR,REGULAR,2026-07-23T15:31:08.031006+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 59.76 | RS 0.74 | trend 0.65 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.93,KNOWN,WIDE_OR_INCOHERENT,LOW,79.69,59.15,56.57,,64.14,asset=79.69; setup=59.15; context=56.57; institutional=None,14.0649995803833,13.16553544998169,15.863927841186523,14.0649995803833,13.16553544998169,15.863927841186523,92,50,42,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
47,GEN,Gen Digital Inc.,NMS,EQUITY,United States,Technology,Software - Infrastructure,15112052736,risk_off,58.84,0.8,0.55,weak,0.304,0.307,0.82,0.779,True,1.0,0.35,0.7915,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,25.161700172424318,25.014999389648438,23.780178001948766,27.809999465942383,2.2634853138563664,0.0329088258465881,0.14524877125538968,25.014999389648438,4633092.55,7078692.516666667,4099250.0,4633092.55,115896807.31043471,0.8847761955456729,0.10181672988620485,23.77,26.32,7121739.0,3783430.0,662468.0,2026-08-06,13.0,False,False,0.27,2.652,0.63367003,0.19459999,316.354,0.39876997,0.7846,0.086660005,15.952229,7.6199894,5.7363715,,9.74,0.0635,4.06,0.90808,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:30:29+00:00,1784820629.0,,,REGULAR,REGULAR,2026-07-23T15:30:57.898073+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 58.84 | RS 0.8 | trend 0.55 | R:R 2.26 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.93,KNOWN,WIDE_OR_INCOHERENT,LOW,78.05,56.33,55.23,,62.06,asset=78.05; setup=56.33; context=55.23; institutional=None,25.014999389648438,23.780178001948766,27.809999465942383,25.014999389648438,23.780178001948766,27.809999465942383,100,57,43,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
48,MS,Morgan Stanley,NYQ,EQUITY,United States,Financial Services,Capital Markets,336549478400,risk_off,57.9,0.542,0.8,acceptable,0.136,0.54,0.82,0.882,True,1.0,0.1,0.7211,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,212.18019927978514,214.16000366210938,205.6864012145996,236.25071389334542,2.607003381156748,0.03438349809097195,0.19965673959530975,214.16000366210938,5798076.25,5868405.416666667,5335250.0,5798076.25,1241716030.9331894,0.9201758945477821,0.0007451564828615173,214.64,214.8,5895752.0,6607720.0,1138486.0,2026-10-14,82.0,False,False,0.28,0.624,0.41567,0.25897,502.246,,0.87641,,17.258272,15.75609,3.2311342,4.319021,,0.0,0.0,0.63015,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:31:53+00:00,1784820713.0,,,REGULAR,REGULAR,2026-07-23T15:31:55.858756+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 57.9 | RS 0.542 | trend 0.8 | R:R 2.61 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.93,KNOWN,VALID,HIGH,84.04,48.45,62.73,,62.3,asset=84.04; setup=48.45; context=62.73; institutional=None,214.16000366210938,205.6864012145996,236.25071389334542,214.16000366210938,205.6864012145996,236.25071389334542,104,56,48,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
49,SOLV,Solventum Corporation,NYQ,EQUITY,United States,Healthcare,Medical Instruments & Supplies,13370473472,risk_off,57.55,0.618,0.55,weak,0.105,0.748,0.82,0.851,True,1.0,0.35,0.4082,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,77.23680145263671,77.04010009765625,74.38620212554932,83.68507766723633,2.5038557018469794,0.028751163619798372,0.09933181864766244,77.04010009765625,1052341.55,1687348.85,989200.0,1052341.55,81072498.34892273,0.9399989955732527,0.0014231192185781673,77.24,77.35,1684734.0,882490.0,104168.0,2026-08-05,12.0,False,False,-0.03,-0.91,0.0558,0.17332001,106.48,0.34794998,0.53655,0.02747,9.429633,10.871343,2.6904173,1.6147903,16.17,0.0341,2.93,0.76429003,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:31:47+00:00,1784820707.0,,,REGULAR,REGULAR,2026-07-23T15:33:15.678679+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 57.55 | RS 0.618 | trend 0.55 | R:R 2.5 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.93,KNOWN,VALID,HIGH,65.27,53.15,63.87,,59.49,asset=65.27; setup=53.15; context=63.87; institutional=None,77.04010009765625,74.38620212554932,83.68507766723633,77.04010009765625,74.38620212554932,83.68507766723633,106,61,45,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
50,ROP,"Roper Technologies, Inc.",NMS,EQUITY,United States,Technology,Software - Application,36070387712,risk_off,57.31,0.606,0.6,weak,0.352,0.307,0.78,0.7,True,1.0,0.51,0.7057,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,352.41400146484375,357.3999938964844,337.9535685947963,396.2928444998605,2.0,0.036273877324725465,0.5324107906414263,357.3999938964844,967803.45,1111511.15,875600.0,967803.45,345892947.1229965,0.9047291575577665,,362.42,360.79,1124926.0,755210.0,504316.0,2026-07-23,-1.0,False,False,0.113,0.592,0.27185,0.21123,55.606,0.09012,0.69404,0.04319,22.371483,14.991401,1.9465636,4.4485717,13.792,0.0655,4.35,1.06576,False,not_prioritized,,,,,,,,,,,,,,,,,,,,,,,,,,,candidato fuera del cupo priorizado de opciones,FULL_SCORE,2026-07-23T15:27:22+00:00,1784820442.0,,,REGULAR,REGULAR,2026-07-23T15:27:31.550765+00:00,yahoo_quote_summary,AVOID,,RECLAIM | score 57.31 | RS 0.606 | trend 0.6 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.93,KNOWN,INVALID,LOW,76.86,58.55,50.43,,61.38,asset=76.86; setup=58.55; context=50.43; institutional=None,357.3999938964844,337.9535685947963,396.2928444998605,357.3999938964844,337.9535685947963,396.2928444998605,108,58,50,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
51,ARW,"Arrow Electronics, Inc.",NYQ,EQUITY,United States,Technology,Electronics & Computer Distribution,11005047808,risk_off,57.12,0.565,0.85,excellent,0.128,0.307,0.82,0.708,True,1.0,0.61,0.4553,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,215.06640014648437,215.52000427246094,204.75215039934432,237.3300018310547,2.0254730251350557,0.0333081343097472,0.11988622003904613,215.52000427246094,589559.0,683589.6666666666,578700.0,589559.0,127061758.1988678,0.9815811479427844,0.003704561241027937,215.55,216.35,691040.0,499760.0,69625.0,2026-07-30,6.0,False,True,0.39,2.013,0.04157,0.02168,36.178,0.113299996,0.11259,0.024939999,15.389485,10.034748,1.6302322,0.32827225,10.483,0.0319,2.37,1.1037899,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"earnings en 6 días: penalización; options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:28:24+00:00,1784820504.0,,,REGULAR,REGULAR,2026-07-23T15:31:28.557505+00:00,yahoo_quote_summary,AVOID,,PULLBACK | score 57.12 | RS 0.565 | trend 0.85 | R:R 2.03 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.93,KNOWN,VALID,HIGH,76.84,56.65,57.4,,62.47,asset=76.84; setup=56.65; context=57.4; institutional=None,215.52000427246094,204.75215039934432,237.3300018310547,215.52000427246094,204.75215039934432,237.3300018310547,110,54,56,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
52,UMBF,UMB Financial Corporation,NMS,EQUITY,,,,10481265664,risk_off,56.82,0.542,0.8,acceptable,0.375,,0.82,1.0,True,1.0,0.35,0.5,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,136.27119979858398,137.77999877929688,136.54384574890136,148.30999755859375,8.518361821212174,0.0222300510150403,0.2319290307960732,137.77999877929688,700326.3,718577.1,559950.0,700326.3,96490956.7591095,0.7995558641736001,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,,,,,UNKNOWN,,,,AVOID,,PULLBACK | score 56.82 | RS 0.542 | trend 0.8 | R:R 8.52 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,MISSING,LOW,76.67,63.62,67.1,,68.21,asset=76.67; setup=63.62; context=67.1; institutional=None,137.77999877929688,136.54384574890136,148.30999755859375,137.77999877929688,136.54384574890136,148.30999755859375,114,39,75,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
